PAUD Heeryn (permanently closed),-6.176445535031596,106.75391607102527
PAUD MAWAR,-6.127943524623446,106.72052124244408
PAUD MELATI 04,-6.154805236668411,106.76875524837368
PAUD MUSLIMAT NU ASSOVA,-6.211731107465823,106.78008757883983
PAUD Nurul Amanah,-6.219861124359274,106.76905534887065
PAUD Tunas Melati,-6.20173408640797,106.73901090389343
SPS BKB PAUD MATAHARI (Jakarta Selatan),-6.229368948654975,106.83521434689106
SPS PAUD ALMA,-6.1787388251721085,106.75502622224793
SPS PAUD NUR UMMIYYAH,-6.176954686851509,106.75645335864934
SPS PAUD NUSA INDAH 04,-6.173701144987024,106.76842423960846
SPS PAUD TUNAS DUA TUJUH,-6.226138642898562,106.76866416619971
KB Bina Bangsa School,-6.188228611512603,106.78136398319467
Kinderland KB,-6.169414415568142,106.76398259478046
TK KINDERLAND,-6.169434513456482, 106.76393285037182
TK Tunas Muda (II IKKT),-6.228082945878038,106.77678424997183
